question_id,difficulty,question_type,document_hit,evidence_hit,coverage,abstained,correct,faithful,relevant,failure_label,input_tokens,output_tokens,cost_usd,latency_seconds,answer
q001,easy,descriptive,1,0,0.0,1,0,1,1,retrieval_failure_honest,839,4,0.000128,1.96,I don't know.
q002,easy,numeric,1,0,0.0,1,0,1,1,retrieval_failure_honest,833,4,0.000127,1.07,I don't know.
q003,easy,date,1,1,1.0,0,0,1,1,generation_failure,823,24,0.000138,1.26,"Priyal Saurabh Vora was made an independent director at Ecoplast on August 12, 2025."
q004,easy,entity,1,0,0.0,1,0,1,1,retrieval_failure_honest,731,4,0.000112,1.2,I don't know.
q005,easy,numeric,1,0,0.0,1,0,1,1,retrieval_failure_honest,832,4,0.000127,1.14,I don't know.
q006,easy,numeric,1,0,0.0,1,0,1,1,retrieval_failure_honest,824,4,0.000126,0.75,I don't know.
q007,easy,entity,1,0,0.0,0,0,1,1,retrieval_failure_hallucinated,692,12,0.000111,1.08,Ecoplast operates in the Value-added product business segment.
q008,medium,comparison,1,0,0.0,1,0,1,1,retrieval_failure_honest,834,4,0.000128,0.8,I don't know.
q009,medium,comparison,1,0,0.0,1,0,1,1,retrieval_failure_honest,812,4,0.000124,0.88,I don't know.
q010,difficult,descriptive,1,1,0.25,0,0,1,0,generation_failure,780,39,0.00014,1.66,Ecoplast cites increased trade tariffs announced by the USA on India and resulting uncertainty as disruptions that affected its business. The company is responding by concentrating its efforts on developing solutions to address these challenges.
q011,easy,numeric,1,0,0.0,1,0,1,1,retrieval_failure_honest,891,4,0.000136,1.65,I don't know.
q012,easy,numeric,1,0,0.0,1,0,1,1,retrieval_failure_honest,869,4,0.000133,1.07,I don't know.
q013,easy,numeric,1,0,0.0,1,0,1,1,retrieval_failure_honest,862,4,0.000132,0.97,I don't know.
q014,easy,descriptive,1,0,0.0,1,0,1,1,retrieval_failure_honest,890,4,0.000136,0.97,I don't know.
q015,easy,numeric,1,0,0.0,1,0,1,1,retrieval_failure_honest,932,4,0.000142,1.04,I don't know.
q016,medium,numeric,1,0,0.0,0,0,0,0,retrieval_failure_hallucinated,887,33,0.000153,2.2,"Goa Carbon paid 2,338.73 in the year 2025-26, and it had paid 1,806.44 the year before."
q017,medium,comparison,1,0,0.0,1,0,1,1,retrieval_failure_honest,875,4,0.000134,1.81,I don't know.
q018,difficult,comparison,1,0,0.0,1,0,1,1,retrieval_failure_honest,882,4,0.000135,1.62,I don't know.
q019,easy,numeric,1,1,1.0,0,1,0,1,grounded_correct,898,25,0.00015,1.23,The basic earnings per share reported by Infosys on a consolidated basis for fiscal 2026 is ` 71.58.
q020,easy,numeric,1,0,0.0,0,0,1,1,retrieval_failure_hallucinated,915,20,0.000149,1.24,The Infosys operating margin on a consolidated basis in fiscal 2026 was 25.3%.
q021,easy,numeric,1,1,0.5,0,0,0,1,generation_failure,923,29,0.000156,1.23,"Infosys did not win any clients during fiscal 2026; its client base at the end of the year stood at 1,965."
q022,easy,numeric,1,1,1.0,0,1,1,1,grounded_correct,777,27,0.000133,1.64,"10,766 fresh graduates completed the training at the Global Education Center (GEC) campus, Mysuru during fiscal 2026."
q023,easy,numeric,1,0,0.0,0,0,0,0,retrieval_failure_hallucinated,812,14,0.00013,1.02,84% of Infosys staff is AI-aware. I don't know.
q024,medium,comparison,1,1,1.0,0,1,1,1,grounded_correct,973,37,0.000168,1.7,"In fiscal 2026, there were 41 Infosys clients in the $100 million-plus bracket, compared to 39 clients in the prior year (fiscal 2025)."
q025,difficult,descriptive,1,0,0.0,0,0,0,1,retrieval_failure_hallucinated,799,127,0.000196,2.99,"The Labour Codes notified in November 2025 had a non-recurring impact on Infosys, resulting in an increase in the past service cost and increased compensated absences by ₹1,289 crore. This incremental amount was presented as ""Impact of Labour Codes"" under ""Exceptional Item"" in the Consolidated Statement of Profit and Loss for the year ended March 31, 2026. The effect on diluted EPS, excluding the impact of these Labour Codes, was an increase of 16.0% on a standalone basis and 12.2% on a consolidated basis for the year ended March 31, 2026."
