question_id,question,reference_answer,difficulty,question_type,evidence_mode
q001,Did Ecoplast declare a dividend for the year 2025-26?,No. The Board decided not to recommend a dividend for the financial year 2025-26.,easy,descriptive,all
q002,How many board meetings did Ecoplast hold during 2025-26?,Nine.,easy,numeric,all
q003,On what date was Priyal Saurabh Vora made an independent director at Ecoplast?,"27 May 2025, for a five-year term running 1 June 2025 to 31 May 2030.",easy,date,all
q004,Which business was folded into Ecoplast and from when?,"Kunal Plastics Private Limited, under an NCLT-sanctioned merger with an appointed date of 1 April 2025.",easy,entity,all
q005,What was Ecoplast's interest coverage ratio as at 31 March 2026?,37.98,easy,numeric,all
q006,What current ratio did Ecoplast report as at 31 March 2026?,3.51,easy,numeric,all
q007,Which single business segment does Ecoplast operate in?,Plastic Films — its sole business segment.,easy,entity,all
q008,"How did Ecoplast's return on net worth move between 31 March 2025 and 31 March 2026, and what explanation is given?","It fell from 0.16 to 0.11, a 32% decline. The company attributes this to fresh equity issued in the previous year, which increased total equity.",medium,comparison,all
q009,Ecoplast's debtors turnover and inventory turnover moved in opposite directions during 2025-26. What were both ratios at 31 March 2026?,Debtors turnover 6.98 (up 1% from 6.90); inventory turnover 5.92 (down 7% from 6.36).,medium,comparison,all
q010,"Which two external disruptions does Ecoplast say hit its business during the year, and what is it doing about each?",(1) Higher US trade tariffs on India hurt export orders and realizations — the company is developing new customers in other export markets. (2) Escalating conflict in West Asia in the final quarter disrupted raw material availability and pricing — the company is securing its raw material supply chains.,difficult,descriptive,all
q011,What did Goa Carbon earn in sales and other income during 2025-26?,"₹70,879.78 lakhs.",easy,numeric,all
q012,How much calcined petroleum coke did Goa Carbon manufacture in 2025-26?,"1,34,585 MT.",easy,numeric,all
q013,What loss before tax did Goa Carbon report for 2025-26?,"A loss of ₹4,211.61 lakhs.",easy,numeric,all
q014,Why did Goa Carbon pay no dividend for the year ended 31 March 2026?,"Because of the losses it incurred. Directors recommended no dividend, and no amount was transferred to reserve.",easy,descriptive,all
q015,What is the face value of one Goa Carbon equity share?,₹10.,easy,numeric,all
q016,"Goa Carbon paid nothing to shareholders in 2025-26. What had it paid the year before, and what did that cost?","₹10.00 per equity share as the final dividend for the year ended 31 March 2024, a cash outflow of ₹915.11 lakhs.",medium,numeric,all
q017,"How did Goa Carbon's gearing change over 2025-26, and what were total debt and total equity at the year end?","The debt-equity ratio fell from 1.29 to 0.99, down 23%. At 31 March 2026 total debt was ₹16,740.25 lakhs and total equity ₹16,862.97 lakhs.",medium,comparison,all
q018,"What debt service coverage ratio did Goa Carbon report for 2025-26, and what reason is given for the change?","(0.67), against (0.41) the previous year — a 62% change. The company attributes the reduction mainly to operational losses incurred during the current financial year.",difficult,comparison,all
q019,What basic earnings per share did Infosys report on a consolidated basis for fiscal 2026?,₹71.58.,easy,numeric,any
q020,What was the Infosys operating margin on a consolidated basis in fiscal 2026?,20.3%.,easy,numeric,all
q021,"How many clients did Infosys win during fiscal 2026, and how large was its client base at year end?","443 new clients were added; the total client base stood at 1,965.",easy,numeric,all
q022,How many fresh graduates finished training at the Infosys campus in Mysuru during fiscal 2026?,"10,766.",easy,numeric,all
q023,"What share of Infosys staff is AI-aware, and how many hours did employees spend learning on average in fiscal 2026?","84% of the workforce is AI-aware, and average annual learning hours were 113.",easy,numeric,all
q024,"How many Infosys clients were in the $100 million-plus bracket in fiscal 2026, against the prior year?","41 in fiscal 2026, up from 39 in fiscal 2025, on a consolidated basis.",medium,comparison,all
q025,"What did the Labour Codes notified in November 2025 do to the Infosys numbers, and how did the effect differ between standalone and consolidated reporting?","They raised gratuity liability and compensated absences by ₹1,146 crore standalone and ₹1,289 crore consolidated, which cut operating margin by 0.8% standalone and 0.7% consolidated.",difficult,descriptive,all
