evidence_id,question_id,group_id,source_document,start_char,end_char,relevant_pages,span_length
e001,q001,q001_g1,ecoplast_2025_26_annual_report.pdf,94502,94562,44,60
e002,q002,q002_g1,ecoplast_2025_26_annual_report.pdf,94714,94791,44,77
e003,q003,q003_g1,ecoplast_2025_26_annual_report.pdf,95210,95432,44,222
e004,q004,q004_g1,ecoplast_2025_26_annual_report.pdf,146900,147059,70,159
e005,q005,q005_g1,ecoplast_2025_26_annual_report.pdf,150292,150347,71,55
e006,q006,q006_g1,ecoplast_2025_26_annual_report.pdf,150367,150442,71,75
e007,q007,q007_g1,ecoplast_2025_26_annual_report.pdf,150863,150981,71,118
e008,q008,q008_g1,ecoplast_2025_26_annual_report.pdf,150597,150794,71,197
e009,q009,q009_g1,ecoplast_2025_26_annual_report.pdf,150184,150290,71,106
e010,q010,q010_g1,ecoplast_2025_26_annual_report.pdf,147569,147712,70,143
e011,q010,q010_g2,ecoplast_2025_26_annual_report.pdf,147713,147825,70,112
e012,q010,q010_g3,ecoplast_2025_26_annual_report.pdf,147925,148104,70,179
e013,q010,q010_g4,ecoplast_2025_26_annual_report.pdf,148105,148349,70,244
e014,q011,q011_g1,goa_carbon_2025_26_annual_report.pdf,71779,71926,27,147
e015,q012,q012_g1,goa_carbon_2025_26_annual_report.pdf,71927,72045,27,118
e016,q013,q013_g1,goa_carbon_2025_26_annual_report.pdf,71446,71550,27,104
e017,q014,q014_g1,goa_carbon_2025_26_annual_report.pdf,72376,72499,27,123
e018,q015,q015_g1,goa_carbon_2025_26_annual_report.pdf,357047,357141,110,94
e019,q016,q016_g1,goa_carbon_2025_26_annual_report.pdf,357558,357775,110,217
e020,q017,q017_g1,goa_carbon_2025_26_annual_report.pdf,417193,417305,135,112
e021,q018,q018_g1,goa_carbon_2025_26_annual_report.pdf,417859,418045,135,186
e022,q019,q019_g1,infosys_2025_26_annual_report.pdf,307049,307089,81,40
e023,q020,q020_g1,infosys_2025_26_annual_report.pdf,306781,306866,81,85
e024,q021,q021_g1,infosys_2025_26_annual_report.pdf,344592,344710,88,118
e025,q022,q022_g1,infosys_2025_26_annual_report.pdf,327507,327619,85,112
e026,q023,q023_g1,infosys_2025_26_annual_report.pdf,328346,328506,85,160
e027,q024,q024_g1,infosys_2025_26_annual_report.pdf,344913,345040,88,127
e028,q025,q025_g1,infosys_2025_26_annual_report.pdf,307456,307825,81,369
e029,q019,q019_g1,infosys_2025_26_annual_report.pdf,957545,957645,287-288,100
e030,q021,q021_g2,infosys_2025_26_annual_report.pdf,344711,344772,88,61
e031,q008,q008_g2,ecoplast_2025_26_annual_report.pdf,150750,150834,71,84
e032,q010,q010_g1,ecoplast_2025_26_annual_report.pdf,92542,92685,43,143
e033,q010,q010_g2,ecoplast_2025_26_annual_report.pdf,92686,92798,43,112
e034,q010,q010_g3,ecoplast_2025_26_annual_report.pdf,92898,93076,43,178
e035,q010,q010_g4,ecoplast_2025_26_annual_report.pdf,93077,93323,43,246
