
evidence_id,question_id,group_id,relevant_document,relevant_pages,evidence_text
e001,q001,q001_g1,ecoplast_2025_26_annual_report.pdf,44,not to recommend a dividend for the financial year 2025-26.
e002,q002,q002_g1,ecoplast_2025_26_annual_report.pdf,44,The Board of Directors met 9 (nine) times during the financial y ear 2025-26.
e003,q003,q003_g1,ecoplast_2025_26_annual_report.pdf,44,"Ms. Priyal Saurabh Vora (DIN: 09374896) was appointed as an Additional Director (Independent) of the Company by the Board of Directors on May 27, 2025, for a term of 5 years commencing from June 01, 2025 to May 31, 2030."
e004,q004,q004_g1,ecoplast_2025_26_annual_report.pdf,70,"are presented on a merged basis pursuant to the NCLT- sanctioned merger of Kunal Plastics Private Limited, effective from the appointed date of April 1, 2025."
e005,q005,q005_g1,ecoplast_2025_26_annual_report.pdf,71,Interest Coverage Ratio 29.03 37.98 31% Refer point No.
e006,q006,q006_g1,ecoplast_2025_26_annual_report.pdf,71,Current Ratio 4.57 3.51 -23% Not Applicable Debt Equity Ratio 0 0.01 100%
e007,q007,q007_g1,ecoplast_2025_26_annual_report.pdf,71,The Company's sole business segment is Plastic Films and all activities are incidental to this sole business segment.
e008,q008,q008_g1,ecoplast_2025_26_annual_report.pdf,71,"Return on Net worth 0.16 0.11 -32% Refer point No. (b) stated Note: a) Debt taken in current year, no debt in previous year b) The Company has issued fresh equity during the previous year"
e009,q009,q009_g1,ecoplast_2025_26_annual_report.pdf,71,Debtors Turnover Ratio 6.90 6.98 1% Not Applicable Inventory Turnover Ratio 6.36 5.92 -7% Not Applicable
e010,q010,q010_g1,ecoplast_2025_26_annual_report.pdf,70,"Increased trade tariffs announced by the USA on India, and the resulting uncertainty, affected export orders and realizations during the year."
e011,q010,q010_g2,ecoplast_2025_26_annual_report.pdf,70,The Company is responding by concentrating its efforts on developing new customers across other export markets.
e012,q010,q010_g3,ecoplast_2025_26_annual_report.pdf,70,"In the last quarter of the year, the escalation of conflict in West Asia significantly affected the availability and pricing of raw materials, impacting both margins and demand."
e013,q010,q010_g4,ecoplast_2025_26_annual_report.pdf,70,"The Company is mitigating this risk by securing its raw material supply chains to ensure uninterrupted production and delivery, amid ongoing global supply- chain uncertainty, and to ensure hassle-free supply of finished goods to its customers."
e014,q011,q011_g1,goa_carbon_2025_26_annual_report.pdf,27,"During the year under review, the Company’s sales and other income was ₹70,879.78 lakhs as compared to ₹51,983.57 lakhs during the previous year."
e015,q012,q012_g1,goa_carbon_2025_26_annual_report.pdf,27,"The production of Calcined Petroleum Coke (CPC) was 1,34,585 MT as compared to 1,56,894 MT during the previous year."
e016,q013,q013_g1,goa_carbon_2025_26_annual_report.pdf,27,"Profit / (Loss) for the year before tax (4,211.61) (2,840.33) Less: Tax Expense – Current Tax 166.98"
e017,q014,q014_g1,goa_carbon_2025_26_annual_report.pdf,27,In view of the losses incurred by the Company: i) your Directors have not recommended any dividend for the financial year
e018,q015,q015_g1,goa_carbon_2025_26_annual_report.pdf,110,The Company has only one class of issued equity shares having a face value of ₹10/- per share.
e019,q016,q016_g1,goa_carbon_2025_26_annual_report.pdf,110,Dividend paid during the year ended 31 March 2026 is ₹ NIL ( ₹ 10.00 per equity share towards final dividend for the year ended 31 March 2024 which resulted in a cash outflow of Rs. 915.11 lakhs in the previous year)
e020,q017,q017_g1,goa_carbon_2025_26_annual_report.pdf,135,"Total debt 16,740.25 28,136.33 Total equity 16,862.97 21,761.06 Ratio 0.99 1.29 % change from previous year -23%"
e021,q018,q018_g1,goa_carbon_2025_26_annual_report.pdf,135,"Ratio (0.67) (0.41) % change from previous year 62% Reason for change more than 25%: Reduction in DSCR, mainly due to operational losses incurred during the current financial year."
e022,q019,q019_g1,infosys_2025_26_annual_report.pdf,81,Basic EPS (₹)(6) 70.87 61.58 71.58 64.50
e023,q020,q020_g1,infosys_2025_26_annual_report.pdf,81,Operating margin (%)(5) 21.9 22.6 20.3 21.1 Net profit margin (%) 19.6 18.7 16.5 16.4
e024,q021,q021_g1,infosys_2025_26_annual_report.pdf,88,"We, along with our subsidiaries, added 443 new clients, including a substantial number of large global corporations."
e025,q022,q022_g1,infosys_2025_26_annual_report.pdf,85,"fiscal 2026, 10,766 fresh graduates completed the training at the Global Education Center (GEC) campus, Mysuru"
e026,q023,q023_g1,infosys_2025_26_annual_report.pdf,85,"In fiscal 2026, 81.8% of our workforce trained with annual employee learning hours averaging at 113 hours. Cumulatively, 84% of our workforce is now AI-aware"
e027,q024,q024_g1,infosys_2025_26_annual_report.pdf,88,"Clients 2026 2025 100 million dollar + 41 39 50 million dollar + 88 85 10 million dollar + 328 309 1 million dollar + 1,018 992"
e028,q025,q025_g1,infosys_2025_26_annual_report.pdf,81,"has resulted in an increase in gratuity liability, a defined benefit plan (arising out of past service cost relating to plan amendment) and compensated absences by ₹1,146 crore and ₹1,289 crore on a standalone and consolidated basis, respectively. Consequently the operating margin has dropped by 0.8% and 0.7% on a standalone and consolidated basis, respectively."
