question_id,difficulty,question_type,document_hit,evidence_hit,coverage,abstained,correct,faithful,relevant,failure_label,input_tokens,output_tokens,cost_usd,latency_seconds,answer
q001,easy,descriptive,1,0,0.0,1,0,1,1,retrieval_failure_honest,839,4,0.000128,2.01,I don't know.
q002,easy,numeric,1,0,0.0,1,0,1,1,retrieval_failure_honest,833,4,0.000127,6.75,I don't know.
q003,easy,date,1,1,1.0,0,0,1,1,generation_failure,823,21,0.000136,1.11,"Priyal Saurabh Vora was made an independent director on August 12, 2025."
q004,easy,entity,1,0,0.0,1,0,1,1,retrieval_failure_honest,731,4,0.000112,0.92,I don't know.
q005,easy,numeric,1,0,0.0,1,0,1,1,retrieval_failure_honest,832,4,0.000127,0.91,I don't know.
q006,easy,numeric,1,0,0.0,1,0,1,1,retrieval_failure_honest,824,4,0.000126,0.73,I don't know.
q007,easy,entity,1,0,0.0,0,0,1,1,retrieval_failure_hallucinated,692,12,0.000111,0.79,Ecoplast operates in the value-added product business segment.
q008,medium,comparison,1,0,0.0,1,0,1,1,retrieval_failure_honest,834,4,0.000128,0.81,I don't know.
q009,medium,comparison,1,0,0.0,1,0,1,1,retrieval_failure_honest,812,4,0.000124,0.8,I don't know.
q010,difficult,descriptive,1,1,0.25,0,0,0,0,generation_failure,780,38,0.00014,1.16,"Increased trade tariffs announced by the USA on India affected export orders and realizations. To respond, the company is concentrating its efforts on development. The context does not specify the second disruption."
q011,easy,numeric,1,0,0.0,1,0,1,1,retrieval_failure_honest,891,4,0.000136,0.9,I don't know.
q012,easy,numeric,1,0,0.0,1,0,1,1,retrieval_failure_honest,869,4,0.000133,0.83,I don't know.
q013,easy,numeric,1,0,0.0,1,0,1,1,retrieval_failure_honest,862,4,0.000132,0.82,I don't know.
q014,easy,descriptive,1,0,0.0,1,0,1,1,retrieval_failure_honest,890,4,0.000136,0.75,I don't know.
q015,easy,numeric,1,0,0.0,1,0,1,1,retrieval_failure_honest,932,4,0.000142,3.66,I don't know.
q016,medium,numeric,1,0,0.0,0,0,0,1,retrieval_failure_hallucinated,887,30,0.000151,1.23,"In the year before (2024-25), Goa Carbon paid 2,338.73 and the cost was 1,806.44."
q017,medium,comparison,1,0,0.0,1,0,1,1,retrieval_failure_honest,875,4,0.000134,0.87,I don't know.
q018,difficult,comparison,1,0,0.0,0,0,0,1,retrieval_failure_hallucinated,882,59,0.000168,3.98,"The debt service coverage ratio reported by Goa Carbon for 2025-26 is 1281.74%. The context indicates an improvement in the ratio from 23.88% for the year ended 31st March, 2025, but does not specify the reason for the change."
q019,easy,numeric,1,1,1.0,0,1,0,1,grounded_correct,898,25,0.00015,1.08,The basic earnings per share reported by Infosys on a consolidated basis for fiscal 2026 was ` 71.58.
q020,easy,numeric,1,0,0.0,0,0,1,1,retrieval_failure_hallucinated,915,20,0.000149,0.9,The Infosys operating margin on a consolidated basis in fiscal 2026 was 25.3%.
q021,easy,numeric,1,1,0.5,0,0,0,1,generation_failure,923,29,0.000156,1.06,"Infosys won 2 clients during fiscal 2026, and its client base at the end of the year stood at 1,965."
q022,easy,numeric,1,1,1.0,0,0,1,1,generation_failure,777,27,0.000133,1.01,"10,766 fresh graduates completed the training at the Global Education Center (GEC) campus, Mysuru during fiscal 2026."
q023,easy,numeric,1,0,0.0,0,0,0,0,retrieval_failure_hallucinated,812,14,0.00013,0.71,84% of Infosys staff is AI-aware. I don't know.
q024,medium,comparison,1,1,1.0,0,1,1,1,grounded_correct,973,31,0.000165,0.94,"In fiscal 2026, there were 41 Infosys clients in the $100 million-plus bracket, compared to 39 in fiscal 2025."
q025,difficult,descriptive,1,0,0.0,0,0,0,1,retrieval_failure_hallucinated,799,58,0.000155,1.64,"The Labour Codes notified in November 2025 resulted in an increase in the diluted EPS (Earnings Per Share) for Infosys by 16.0% on a standalone basis and 12.2% on a consolidated basis for the year ended March 31, 2026."
