chunk_size,question_id,difficulty,question_type,evidence_mode,first_rank,inspected_depth
300,q001,easy,descriptive,all,,200
300,q002,easy,numeric,all,129,200
300,q003,easy,date,all,2,200
300,q004,easy,entity,all,88,200
300,q005,easy,numeric,all,,200
300,q006,easy,numeric,all,,200
300,q007,easy,entity,all,88,200
300,q008,medium,comparison,all,,200
300,q009,medium,comparison,all,29,200
300,q010,difficult,descriptive,all,1,200
300,q011,easy,numeric,all,50,200
300,q012,easy,numeric,all,5,200
300,q013,easy,numeric,all,27,200
300,q014,easy,descriptive,all,85,200
300,q015,easy,numeric,all,87,200
300,q016,medium,numeric,all,76,200
300,q017,medium,comparison,all,32,200
300,q018,difficult,comparison,all,83,200
300,q019,easy,numeric,any,,200
300,q020,easy,numeric,all,,200
300,q021,easy,numeric,all,19,200
300,q022,easy,numeric,all,1,200
300,q023,easy,numeric,all,1,200
300,q024,medium,comparison,all,1,200
300,q025,difficult,descriptive,all,141,200
500,q001,easy,descriptive,all,179,200
500,q002,easy,numeric,all,,200
500,q003,easy,date,all,3,200
500,q004,easy,entity,all,156,200
500,q005,easy,numeric,all,163,200
500,q006,easy,numeric,all,193,200
500,q007,easy,entity,all,48,200
500,q008,medium,comparison,all,,200
500,q009,medium,comparison,all,77,200
500,q010,difficult,descriptive,all,1,200
500,q011,easy,numeric,all,36,200
500,q012,easy,numeric,all,10,200
500,q013,easy,numeric,all,,200
500,q014,easy,descriptive,all,69,200
500,q015,easy,numeric,all,115,200
500,q016,medium,numeric,all,70,200
500,q017,medium,comparison,all,45,200
500,q018,difficult,comparison,all,,200
500,q019,easy,numeric,any,1,200
500,q020,easy,numeric,all,,200
500,q021,easy,numeric,all,1,200
500,q022,easy,numeric,all,1,200
500,q023,easy,numeric,all,21,200
500,q024,medium,comparison,all,1,200
500,q025,difficult,descriptive,all,6,200
600,q001,easy,descriptive,all,117,200
600,q002,easy,numeric,all,152,200
600,q003,easy,date,all,5,200
600,q004,easy,entity,all,131,200
600,q005,easy,numeric,all,177,200
600,q006,easy,numeric,all,140,200
600,q007,easy,entity,all,80,200
600,q008,medium,comparison,all,,200
600,q009,medium,comparison,all,8,200
600,q010,difficult,descriptive,all,1,200
600,q011,easy,numeric,all,23,200
600,q012,easy,numeric,all,7,200
600,q013,easy,numeric,all,39,200
600,q014,easy,descriptive,all,141,200
600,q015,easy,numeric,all,36,200
600,q016,medium,numeric,all,60,200
600,q017,medium,comparison,all,49,200
600,q018,difficult,comparison,all,,200
600,q019,easy,numeric,any,2,200
600,q020,easy,numeric,all,183,200
600,q021,easy,numeric,all,,200
600,q022,easy,numeric,all,2,200
600,q023,easy,numeric,all,1,200
600,q024,medium,comparison,all,1,200
600,q025,difficult,descriptive,all,130,200
1000,q001,easy,descriptive,all,151,200
1000,q002,easy,numeric,all,104,200
1000,q003,easy,date,all,4,200
1000,q004,easy,entity,all,113,200
1000,q005,easy,numeric,all,94,200
1000,q006,easy,numeric,all,60,200
1000,q007,easy,entity,all,,200
1000,q008,medium,comparison,all,,200
1000,q009,medium,comparison,all,40,200
1000,q010,difficult,descriptive,all,1,200
1000,q011,easy,numeric,all,24,200
1000,q012,easy,numeric,all,8,200
1000,q013,easy,numeric,all,50,200
1000,q014,easy,descriptive,all,46,200
1000,q015,easy,numeric,all,,200
1000,q016,medium,numeric,all,38,200
1000,q017,medium,comparison,all,91,200
1000,q018,difficult,comparison,all,5,200
1000,q019,easy,numeric,any,1,200
1000,q020,easy,numeric,all,21,200
1000,q021,easy,numeric,all,,200
1000,q022,easy,numeric,all,31,200
1000,q023,easy,numeric,all,40,200
1000,q024,medium,comparison,all,1,200
1000,q025,difficult,descriptive,all,29,200
