dimension,group,n_questions,n_observations,failure_label,count,rate,lift_vs_overall
question_type,descriptive,4,12,grounded_correct,1,0.0833,0.62
question_type,descriptive,4,12,generation_failure,2,0.1667,2.5
question_type,descriptive,4,12,generation_refusal,0,0.0,
question_type,descriptive,4,12,unsupported_correct,0,0.0,0.0
question_type,descriptive,4,12,retrieval_failure_honest,6,0.5,0.78
question_type,descriptive,4,12,retrieval_failure_hallucinated,3,0.25,2.68
question_type,numeric,13,39,grounded_correct,6,0.1538,1.15
question_type,numeric,13,39,generation_failure,0,0.0,0.0
question_type,numeric,13,39,generation_refusal,0,0.0,
question_type,numeric,13,39,unsupported_correct,2,0.0513,0.77
question_type,numeric,13,39,retrieval_failure_honest,27,0.6923,1.08
question_type,numeric,13,39,retrieval_failure_hallucinated,4,0.1026,1.1
question_type,date,1,3,grounded_correct,0,0.0,0.0
question_type,date,1,3,generation_failure,3,1.0,15.0
question_type,date,1,3,generation_refusal,0,0.0,
question_type,date,1,3,unsupported_correct,0,0.0,0.0
question_type,date,1,3,retrieval_failure_honest,0,0.0,0.0
question_type,date,1,3,retrieval_failure_hallucinated,0,0.0,0.0
question_type,entity,2,6,grounded_correct,0,0.0,0.0
question_type,entity,2,6,generation_failure,0,0.0,0.0
question_type,entity,2,6,generation_refusal,0,0.0,
question_type,entity,2,6,unsupported_correct,3,0.5,7.5
question_type,entity,2,6,retrieval_failure_honest,3,0.5,0.78
question_type,entity,2,6,retrieval_failure_hallucinated,0,0.0,0.0
question_type,comparison,5,15,grounded_correct,3,0.2,1.5
question_type,comparison,5,15,generation_failure,0,0.0,0.0
question_type,comparison,5,15,generation_refusal,0,0.0,
question_type,comparison,5,15,unsupported_correct,0,0.0,0.0
question_type,comparison,5,15,retrieval_failure_honest,12,0.8,1.25
question_type,comparison,5,15,retrieval_failure_hallucinated,0,0.0,0.0
difficulty,easy,17,51,grounded_correct,6,0.1176,0.88
difficulty,easy,17,51,generation_failure,3,0.0588,0.88
difficulty,easy,17,51,generation_refusal,0,0.0,
difficulty,easy,17,51,unsupported_correct,5,0.098,1.47
difficulty,easy,17,51,retrieval_failure_honest,33,0.6471,1.01
difficulty,easy,17,51,retrieval_failure_hallucinated,4,0.0784,0.84
difficulty,medium,5,15,grounded_correct,3,0.2,1.5
difficulty,medium,5,15,generation_failure,0,0.0,0.0
difficulty,medium,5,15,generation_refusal,0,0.0,
difficulty,medium,5,15,unsupported_correct,0,0.0,0.0
difficulty,medium,5,15,retrieval_failure_honest,12,0.8,1.25
difficulty,medium,5,15,retrieval_failure_hallucinated,0,0.0,0.0
difficulty,difficult,3,9,grounded_correct,1,0.1111,0.83
difficulty,difficult,3,9,generation_failure,2,0.2222,3.33
difficulty,difficult,3,9,generation_refusal,0,0.0,
difficulty,difficult,3,9,unsupported_correct,0,0.0,0.0
difficulty,difficult,3,9,retrieval_failure_honest,3,0.3333,0.52
difficulty,difficult,3,9,retrieval_failure_hallucinated,3,0.3333,3.57
document,ecoplast,10,30,grounded_correct,1,0.0333,0.25
document,ecoplast,10,30,generation_failure,5,0.1667,2.5
document,ecoplast,10,30,generation_refusal,0,0.0,
document,ecoplast,10,30,unsupported_correct,3,0.1,1.5
document,ecoplast,10,30,retrieval_failure_honest,21,0.7,1.09
document,ecoplast,10,30,retrieval_failure_hallucinated,0,0.0,0.0
document,goa_carbon,8,24,grounded_correct,0,0.0,0.0
document,goa_carbon,8,24,generation_failure,0,0.0,0.0
document,goa_carbon,8,24,generation_refusal,0,0.0,
document,goa_carbon,8,24,unsupported_correct,0,0.0,0.0
document,goa_carbon,8,24,retrieval_failure_honest,24,1.0,1.56
document,goa_carbon,8,24,retrieval_failure_hallucinated,0,0.0,0.0
document,infosys,7,21,grounded_correct,9,0.4286,3.21
document,infosys,7,21,generation_failure,0,0.0,0.0
document,infosys,7,21,generation_refusal,0,0.0,
document,infosys,7,21,unsupported_correct,2,0.0952,1.43
document,infosys,7,21,retrieval_failure_honest,3,0.1429,0.22
document,infosys,7,21,retrieval_failure_hallucinated,7,0.3333,3.57
