question_id,question,reference_answer,model_answer,human_correct,human_faithful,human_relevant,notes
q001,Did Ecoplast declare a dividend for the year 2025-26?,No. The Board decided not to recommend a dividend for the financial year 2025-26.,I don't know.,0,1,1,Abstained
q002,How many board meetings did Ecoplast hold during 2025-26?,Nine.,I don't know.,0,1,1,Abstained
q003,On what date was Priyal Saurabh Vora made an independent director at Ecoplast?,"27 May 2025, for a five-year term running 1 June 2025 to 31 May 2030.","Priyal Saurabh Vora was made an independent director at Ecoplast on August 12, 2025.",0,0,1,Confuses May 27 appointment with Aug 12 AGM approval
q004,Which business was folded into Ecoplast and from when?,"Kunal Plastics Private Limited, under an NCLT-sanctioned merger with an appointed date of 1 April 2025.",I don't know.,0,1,1,Abstained
q005,What was Ecoplast's interest coverage ratio as at 31 March 2026?,37.98,I don't know.,0,1,1,Abstained
q006,What current ratio did Ecoplast report as at 31 March 2026?,3.51,I don't know.,0,1,1,Abstained
q007,Which single business segment does Ecoplast operate in?,Plastic Films — its sole business segment.,Ecoplast operates in the Value-added product business segment.,0,1,1,Wrong gold answer but value-added business wording is supported by retrieved context
q008,"How did Ecoplast's return on net worth move between 31 March 2025 and 31 March 2026, and what explanation is given?","It fell from 0.16 to 0.11, a 32% decline. The company attributes this to fresh equity issued in the previous year, which increased total equity.",I don't know.,0,1,1,Abstained
q009,Ecoplast's debtors turnover and inventory turnover moved in opposite directions during 2025-26. What were both ratios at 31 March 2026?,Debtors turnover 6.98 (up 1% from 6.90); inventory turnover 5.92 (down 7% from 6.36).,I don't know.,0,1,1,Abstained
q010,"Which two external disruptions does Ecoplast say hit its business during the year, and what is it doing about each?",(1) Higher US trade tariffs on India hurt export orders and realizations — the company is developing new customers in other export markets. (2) Escalating conflict in West Asia in the final quarter disrupted raw material availability and pricing — the company is securing its raw material supply chains.,Ecoplast cites increased trade tariffs announced by the USA on India and resulting uncertainty as disruptions that affected its business. The company is responding by concentrating its efforts on developing solutions to address these challenges.,0,0,1,Only one disruption addressed and mitigation wording exceeds retrieved support
q011,What did Goa Carbon earn in sales and other income during 2025-26?,"₹70,879.78 lakhs.",I don't know.,0,1,1,Abstained
q012,How much calcined petroleum coke did Goa Carbon manufacture in 2025-26?,"1,34,585 MT.",I don't know.,0,1,1,Abstained
q013,What loss before tax did Goa Carbon report for 2025-26?,"A loss of ₹4,211.61 lakhs.",I don't know.,0,1,1,Abstained
q014,Why did Goa Carbon pay no dividend for the year ended 31 March 2026?,"Because of the losses it incurred. Directors recommended no dividend, and no amount was transferred to reserve.",I don't know.,0,1,1,Abstained
q015,What is the face value of one Goa Carbon equity share?,₹10.,I don't know.,0,1,1,Abstained
q016,"Goa Carbon paid nothing to shareholders in 2025-26. What had it paid the year before, and what did that cost?","₹10.00 per equity share as the final dividend for the year ended 31 March 2024, a cash outflow of ₹915.11 lakhs.","Goa Carbon paid 2,338.73 in the year 2025-26, and it had paid 1,806.44 the year before.",0,0,1,"Revised from 1: misattributes the semantic meaning/period of numbers that merely appear in context"
q017,"How did Goa Carbon's gearing change over 2025-26, and what were total debt and total equity at the year end?","The debt-equity ratio fell from 1.29 to 0.99, down 23%. At 31 March 2026 total debt was ₹16,740.25 lakhs and total equity ₹16,862.97 lakhs.",I don't know.,0,1,1,Abstained
q018,"What debt service coverage ratio did Goa Carbon report for 2025-26, and what reason is given for the change?","(0.67), against (0.41) the previous year — a 62% change. The company attributes the reduction mainly to operational losses incurred during the current financial year.",I don't know.,0,1,1,Abstained
q019,What basic earnings per share did Infosys report on a consolidated basis for fiscal 2026?,₹71.58.,The basic earnings per share reported by Infosys on a consolidated basis for fiscal 2026 is ` 71.58.,1,1,1,Correct EPS and directly supported
q020,What was the Infosys operating margin on a consolidated basis in fiscal 2026?,20.3%.,The Infosys operating margin on a consolidated basis in fiscal 2026 was 25.3%.,0,1,1,Wrong answer but 25.3 percent is grounded in retrieved operating-margin context
q021,"How many clients did Infosys win during fiscal 2026, and how large was its client base at year end?","443 new clients were added; the total client base stood at 1,965.","Infosys did not win any clients during fiscal 2026; its client base at the end of the year stood at 1,965.",0,0,1,1965 supported but zero new clients is unsupported
q022,How many fresh graduates finished training at the Infosys campus in Mysuru during fiscal 2026?,"10,766.","10,766 fresh graduates completed the training at the Global Education Center (GEC) campus, Mysuru during fiscal 2026.",1,1,1,Correct and directly supported
q023,"What share of Infosys staff is AI-aware, and how many hours did employees spend learning on average in fiscal 2026?","84% of the workforce is AI-aware, and average annual learning hours were 113.",84% of Infosys staff is AI-aware. I don't know.,0,1,1,84 percent supported but learning-hours fact omitted
q024,"How many Infosys clients were in the $100 million-plus bracket in fiscal 2026, against the prior year?","41 in fiscal 2026, up from 39 in fiscal 2025, on a consolidated basis.","In fiscal 2026, there were 41 Infosys clients in the $100 million-plus bracket, compared to 39 clients in the prior year (fiscal 2025).",1,1,1,Correct 41 versus 39 and directly supported
q025,"What did the Labour Codes notified in November 2025 do to the Infosys numbers, and how did the effect differ between standalone and consolidated reporting?","They raised gratuity liability and compensated absences by ₹1,146 crore standalone and ₹1,289 crore consolidated, which cut operating margin by 0.8% standalone and 0.7% consolidated.","The Labour Codes notified in November 2025 had a non-recurring impact on Infosys, resulting in an increase in the past service cost and increased compensated absences by ₹1,289 crore. This incremental amount was presented as ""Impact of Labour Codes"" under ""Exceptional Item"" in the Consolidated Statement of Profit and Loss for the year ended March 31, 2026. The effect on diluted EPS, excluding the impact of these Labour Codes, was an increase of 16.0% on a standalone basis and 12.2% on a consolidated basis for the year ended March 31, 2026.",0,0,1,Partially grounded but misses requested standalone amount and operating-margin effects
