chunk_size,run_index,question_id,difficulty,question_type,evidence_mode,evidence_hit,abstained,correct,faithful,relevant,failure_label,input_tokens,output_tokens,cost_usd,latency_seconds,answer
500,1,q001,easy,descriptive,all,0,1,0,1,1,retrieval_failure_honest,839,4,0.000128,2.84,I don't know.
500,1,q002,easy,numeric,all,0,1,0,1,1,retrieval_failure_honest,833,4,0.000127,1.29,I don't know.
500,1,q003,easy,date,all,1,0,0,0,1,generation_failure,823,24,0.000138,1.09,"Priyal Saurabh Vora was made an independent director at Ecoplast on August 12, 2025."
500,1,q004,easy,entity,all,0,1,0,1,1,retrieval_failure_honest,731,4,0.000112,1.21,I don't know.
500,1,q005,easy,numeric,all,0,1,0,1,1,retrieval_failure_honest,832,4,0.000127,0.76,I don't know.
500,1,q006,easy,numeric,all,0,1,0,1,1,retrieval_failure_honest,824,4,0.000126,1.18,I don't know.
500,1,q007,easy,entity,all,0,0,0,1,1,retrieval_failure_hallucinated,692,12,0.000111,1.13,Ecoplast operates in the value-added product business segment.
500,1,q008,medium,comparison,all,0,1,0,1,1,retrieval_failure_honest,834,4,0.000128,0.75,I don't know.
500,1,q009,medium,comparison,all,0,1,0,1,1,retrieval_failure_honest,812,4,0.000124,0.92,I don't know.
500,1,q010,difficult,descriptive,all,1,0,0,1,1,generation_failure,780,51,0.000148,1.37,Ecoplast states that increased trade tariffs announced by the USA on India and the resulting uncertainty affected export orders and realizations during the year. The company is responding by concentrating its efforts on development (although the context does not specify what developments are being made).
500,1,q011,easy,numeric,all,0,1,0,1,1,retrieval_failure_honest,891,4,0.000136,1.13,I don't know.
500,1,q012,easy,numeric,all,0,1,0,1,1,retrieval_failure_honest,869,4,0.000133,0.83,I don't know.
500,1,q013,easy,numeric,all,0,1,0,1,1,retrieval_failure_honest,862,4,0.000132,0.93,I don't know.
500,1,q014,easy,descriptive,all,0,1,0,1,1,retrieval_failure_honest,890,4,0.000136,0.78,I don't know.
500,1,q015,easy,numeric,all,0,1,0,1,1,retrieval_failure_honest,932,4,0.000142,0.88,I don't know.
500,1,q016,medium,numeric,all,0,0,0,0,1,retrieval_failure_hallucinated,887,31,0.000152,1.12,"Goa Carbon paid 2,338.73 in the year before (2024-25) at a cost of 1,806.44."
500,1,q017,medium,comparison,all,0,1,0,1,1,retrieval_failure_honest,875,4,0.000134,0.7,I don't know.
500,1,q018,difficult,comparison,all,0,1,0,1,1,retrieval_failure_honest,882,4,0.000135,0.86,I don't know.
500,1,q019,easy,numeric,any,1,1,0,1,1,generation_refusal,898,4,0.000137,0.78,I don't know.
