question_id,difficulty,question_type,evidence_mode,n_evidence,gold_documents,top1_document,top1_score,doc_recall@1,any_evidence@1,coverage@1,doc_recall@3,any_evidence@3,coverage@3,doc_recall@5,any_evidence@5,coverage@5,doc_recall@10,any_evidence@10,coverage@10
q001,easy,descriptive,all,1,ecoplast_2025_26_annual_report.pdf,ecoplast_2025_26_annual_report.pdf,0.6555,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
q002,easy,numeric,all,1,ecoplast_2025_26_annual_report.pdf,ecoplast_2025_26_annual_report.pdf,0.6772,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
q003,easy,date,all,1,ecoplast_2025_26_annual_report.pdf,ecoplast_2025_26_annual_report.pdf,0.6518,1,0,0.0,1,0,0.0,1,1,1.0,1,1,1.0
q004,easy,entity,all,1,ecoplast_2025_26_annual_report.pdf,ecoplast_2025_26_annual_report.pdf,0.6487,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
q005,easy,numeric,all,1,ecoplast_2025_26_annual_report.pdf,ecoplast_2025_26_annual_report.pdf,0.6379,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
q006,easy,numeric,all,1,ecoplast_2025_26_annual_report.pdf,ecoplast_2025_26_annual_report.pdf,0.6426,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
q007,easy,entity,all,1,ecoplast_2025_26_annual_report.pdf,ecoplast_2025_26_annual_report.pdf,0.6421,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
q008,medium,comparison,all,2,ecoplast_2025_26_annual_report.pdf,ecoplast_2025_26_annual_report.pdf,0.6369,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
q009,medium,comparison,all,1,ecoplast_2025_26_annual_report.pdf,ecoplast_2025_26_annual_report.pdf,0.6132,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
q010,difficult,descriptive,all,4,ecoplast_2025_26_annual_report.pdf,ecoplast_2025_26_annual_report.pdf,0.5493,1,1,0.25,1,1,0.25,1,1,0.25,1,1,0.25
q011,easy,numeric,all,1,goa_carbon_2025_26_annual_report.pdf,goa_carbon_2025_26_annual_report.pdf,0.6826,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
q012,easy,numeric,all,1,goa_carbon_2025_26_annual_report.pdf,goa_carbon_2025_26_annual_report.pdf,0.6702,1,0,0.0,1,0,0.0,1,0,0.0,1,1,1.0
q013,easy,numeric,all,1,goa_carbon_2025_26_annual_report.pdf,goa_carbon_2025_26_annual_report.pdf,0.6589,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
q014,easy,descriptive,all,1,goa_carbon_2025_26_annual_report.pdf,goa_carbon_2025_26_annual_report.pdf,0.672,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
q015,easy,numeric,all,1,goa_carbon_2025_26_annual_report.pdf,sumit_2025_26_annual_report.pdf,0.5833,0,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
q016,medium,numeric,all,1,goa_carbon_2025_26_annual_report.pdf,goa_carbon_2025_26_annual_report.pdf,0.6733,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
q017,medium,comparison,all,1,goa_carbon_2025_26_annual_report.pdf,goa_carbon_2025_26_annual_report.pdf,0.7015,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
q018,difficult,comparison,all,1,goa_carbon_2025_26_annual_report.pdf,goa_carbon_2025_26_annual_report.pdf,0.6294,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
q019,easy,numeric,any,2,infosys_2025_26_annual_report.pdf,infosys_2025_26_annual_report.pdf,0.7141,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0
q020,easy,numeric,all,1,infosys_2025_26_annual_report.pdf,infosys_2025_26_annual_report.pdf,0.6571,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
q021,easy,numeric,all,2,infosys_2025_26_annual_report.pdf,infosys_2025_26_annual_report.pdf,0.7108,1,1,0.5,1,1,0.5,1,1,0.5,1,1,0.5
q022,easy,numeric,all,1,infosys_2025_26_annual_report.pdf,infosys_2025_26_annual_report.pdf,0.6222,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0
q023,easy,numeric,all,1,infosys_2025_26_annual_report.pdf,infosys_2025_26_annual_report.pdf,0.6448,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0
q024,medium,comparison,all,1,infosys_2025_26_annual_report.pdf,infosys_2025_26_annual_report.pdf,0.7178,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0
q025,difficult,descriptive,all,1,infosys_2025_26_annual_report.pdf,alivus_2025_26_annual_report.pdf,0.6814,0,0,0.0,1,0,0.0,1,0,0.0,1,1,1.0
